URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
T,B777,ORF UUA /OV 3304N06745W/TM 0300/FL330/TP B777/TB SEV,SEV,,33000.0,33.666,-67.75,2017-05-07 03:00:00+00:00,5.0,0,H
F,PC12,LBB UA /OV LBB090080 /TM 1103 /FL140 /TP PC12 /TB LGT CHOP/RM AWC-WEB:,LGT CHOP,,14000.0,33.66364,-100.22067544035671,2017-05-25 11:03:00+00:00,1.0,0,L
F,E145,AMA UA /OV AMA090050/TM 1532/FL360/TP E145/TB MOD/RM ZAB,MOD,,36000.0,35.21936,-100.68578320561588,2017-05-19 15:32:00+00:00,3.0,0,M
F,B737,LBB UA /OV PVW270015 /TM 1844 /FL300 /TP B737 /TB LGT-MOD CHOP/RM AWC-WEB:,LGT-MOD CHOP,,30000.0,34.16815,-102.01951838412836,2017-05-31 18:44:00+00:00,2.0,0,M
F,GLF4,CKB UA /OV CKB190010/TM 1950/FL300/TP GLF4/TB MOD,MOD,,30000.0,39.13249207958,-80.26548089709343,2017-05-05 19:50:00+00:00,3.0,0,M
F,GLF4,PSK UA /OV PSK270015/TM 2129/FL220/TP GLF4/TB SEV/RM NO DAMAGE OR INJURIES  IN DESCENT FL220 TO FL190 ZTLFD,SEV,,22000.0,37.13735,-80.99210671471083,2017-05-24 21:29:00+00:00,5.0,0,M
F,A321,FTW UA /OV 10 NW CQY/TM 2155/FL140/TP A321/TB MOD TURB,MOD TURB,,14000.0,32.285603816014806,-96.38133597133448,2017-05-23 21:55:00+00:00,3.0,1,M
F,C560,AHN UA /OV AHN180030/TM 2146/FL280/TP C560/TB LGT CHOP/RM ZTLFD,LGT CHOP,,28000.0,33.4485594999595,-83.32635,2017-05-05 21:46:00+00:00,1.0,0,M
F,B737,UUA /OV CYGW 090045 /TM 1940 /FL360 /TP B737 /TB MDT-SEV /RM TURB MDT FL330 TO FL380  BUT SEV AT FL360,MDT-SEV,,36000.0,55.28194,-76.44831799419718,2017-05-08 19:40:00+00:00,5.0,0,M
F,C441,BIE UA /OV PWE360020/TM 1239/FL190/TP C441/TB CONT LGT OCNL MOD CHOP FL190-110,CONT LGT OCNL MOD CHOP FL190-110,,19000.0,40.533360333360335,-96.21,2017-05-17 12:39:00+00:00,2.0,0,L
F,B767,UUA /OV YXR /TM 0110 /FL280 /TP B767 /TB SEV,SEV,,28000.0,47.68,-79.78,2017-05-02 01:10:00+00:00,5.0,0,H
F,GLF4,BLM UA /OV COL/TM 2025/FL140/TP GLF4/TB MOD 140-170,MOD 140-170,,14000.0,40.31,-74.16,2017-05-11 20:25:00+00:00,3.0,0,M
