URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
F,B763,AUW UA /OV AUW/TM 1355/FL280/TP B763/TB CONT LGT-MOD,CONT LGT-MOD,,28000.0,44.92616,-89.62664,2018-06-06 13:55:00,2.0,H
T,C560,RIW UUA /OV BOY030036/TM 0009/FL430/TP C560/TB SEV /ZLC,SEV,,43000.0,43.97965733114738,-107.88666069568644,2018-06-07 00:09:00,5.0,M
T,H25B,PIE UUA /OV PIE040050/TM 1658/FL390/TP H25B/TB SEV/RM LOSS OF 400FT NO INJURIES  NO DAMAGE,SEV,,39000.0,28.548422077317436,-82.08120809454826,2018-06-03 16:58:00,5.0,M
F,B737,LCH UA /OV LCH180020 /TM 2041 /FL390 /TP B737 /TB MOD /RM FM ZHU AWC-WEB:,MOD,,39000.0,29.791359666639668,-93.22833,2018-06-18 20:41:00,3.0,M
T,BE40,SGJ UUA /OV SGJ270005/TM 1852/FL350/TP BE40/TB SEV,SEV,,35000.0,29.95925,-81.4359133641276,2018-06-10 18:52:00,5.0,M
F,B752,INL UA /OV INL170035/TM 2226/FL360/TP B752/TB CONT LGT OCNL MOD,CONT LGT OCNL MOD,,36000.0,47.98495000853002,-93.2424898059464,2018-06-03 22:26:00,2.0,M
T,GLF6,BGM UUA /OV HNK180020/TM 0100/FL130/TP GLF6/TB SEV,SEV,,13000.0,41.72663966663967,-75.32,2018-06-14 01:00:00,5.0,U
T,C560,DFW UUA /OV 5 SE ADS /TM 1826/FL100/TP C560/TB SEV,SEV,,10000.0,32.90962966192557,-96.76620864800417,2018-06-20 18:26:00,5.0,M
F,B737,STL UA /OV STL/TM 1553/FL400/TP B737/TB LGT-MOD CHOP/RM ZKCFD,LGT-MOD CHOP,,40000.0,38.75245,-90.3734,2018-06-08 15:53:00,2.0,M
T,BE36,ALS UUA /OV ALS080020/TM 2151/FL145/TP BE36/TB OCNL SEV/RM OCNL SEV MTW +/-1000FPM +/-20KTS ZDV,OCNL SEV,,14500.0,37.49677741439447,-105.44792030085776,2018-06-21 21:51:00,5.0,L
T,C185,ILI UUA /OV 5NN /TM 1916 /FL018 /TP C185 /TB LGT-MOD /RM OCNL SEV,LGT-MOD,,1800.0,59.98,-154.83,2018-06-27 19:16:00,2.0,L
T,EVOT,DAY UUA /OV RID230020/TM 1507/FL280/TP EVOT/TB SEV,SEV,,28000.0,39.542920108155,-85.1749821401284,2018-06-08 15:07:00,5.0,U
T,C56X,PTS UUA /OV OSW090020/TM 2216/FL170/TP C56X/TB EXTRM 135-245/RM ZKCFD,EXTRM 135-245,,17000.0,37.15,-94.7817611056011,2018-06-26 22:16:00,7.0,M
F,B777,UUA /OV CYOD /TM 1645 /FL400 /TP B777 /TB MDT-SEV,MDT-SEV,,40000.0,54.40717,-110.27833,2018-06-10 16:45:00,5.0,H
F,M7,LVR UA /OV TPO-LVR /TM 1806 /FL018 /TP M7 /SK OVC018-TOP050 /WV 04545KT /TB SEV /RM TB SEV WEST END LGT EAST END LAKE CLARK PASS,SEV,,1800.0,60.505,-153.3,2018-06-27 18:06:00,5.0,L
F,E175,MFD UA /OV FBC140020/TM 2140/FL310/TP E175/TB LGT-MDT CHOP,LGT-MDT CHOP,,31000.0,40.82,-82.52,2018-06-01 21:40:00,1.0,U
T,E75,DAG UUA /OV HEC082029 /TM 0001 /FL260 /TP E75 /TB SEV /RM SEV TURB DURING DESCENT ON ANJL ARR AC BANKED 40 DEGREES RIGHT ....ZLAWC AWC-WEB,SEV,,26000.0,34.86727244742971,-115.87707508176612,2018-06-01 00:01:00,5.0,U
F,C182,OKC UA /OV 3N GOK/TM 2123/FL050/TP C182/TB MOD TURB/RM MOD TURB 040-060 RPTD DURC,MOD TURB,,5000.0,35.899814050004046,-97.41561,2018-06-24 21:23:00,3.0,L
F,C208,ABQ UA /OV OTO/TM 0009/FL140/TP C208/TB LGT-MOD/RM ZAB/FDCS,LGT-MOD,,14000.0,35.07,-105.94,2018-06-27 00:09:00,2.0,L
T,PA28,INR UUA /OV TTW-INR /TM 1544 /FL040 /TP PA28 /TB SEV /RM SEV TB THROUGH WINDY PASS,SEV,,4000.0,63.56,-148.93,2018-06-18 15:44:00,5.0,L
F,B777,PHNL UA /OV 3530N 16400W /TM 1259 /FL300 /TP B777 /TB SEV /RM ZOA CWSU AWC-WEB,SEV,,30000.0,35.5,-164.0,2018-06-02 12:59:00,5.0,H
F,B777,UUA /OV YYQ 270100 /TM 1705 /FL360 /TP B777 /TB MDT-SEV /RM SMOOTH AT F380,MDT-SEV,,36000.0,58.73,-97.28112061533702,2018-06-30 17:05:00,5.0,H
T,B772,PAH UUA /OV CNG 145030/TM 2225/FL350/TP B772/TB OCNL SEV/RM ZME,OCNL SEV,,35000.0,36.60039080216453,-88.4808259146928,2018-06-12 22:25:00,5.0,H
F,B737,TRK UA /OV SWR278012/TM 1733/FL210/TP B737/TB LGT-MOD/RM ZOA CWSU,LGT-MOD,,21000.0,39.2078368747985,-120.52551932870446,2018-06-09 17:33:00,2.0,M
F,A350,RWF UA /OV RWF/TM 0822/FL350/TP A350/TB CONT MOD CAT 350-310,CONT MOD CAT 350-310,,35000.0,44.54689,-95.082,2018-06-09 08:22:00,3.0,H
T,CRJ2,FTG UUA /OV DEN135010 /TM 1733 /FL110 /TP CRJ2 /TB SEV,SEV,,11000.0,39.71493932385115,-104.50401898187816,2018-06-22 17:33:00,5.0,M
F,PC12,4CR UA /OV CNX130030/TM 1445/FL220/TP PC12/TA M14/TB LGT-MOD/IC LGT MX/RM ZAB/FDCS,LGT-MOD,,22000.0,34.048580162232504,-105.21592321743248,2018-06-13 14:45:00,2.0,L
