band,FL,nan_fraction,valid_cells,radars_loaded,nan_pct,status
FL030-050,3000.0,0.909765625,231,4,90.9765625,SPARSE
FL030-050,4000.0,0.790625,536,5,79.0625,OK
FL030-050,3000.0,0.708203125,747,5,70.8203125,OK
FL030-050,4000.0,0.633203125,939,5,63.3203125,OK
FL030-050,4000.0,0.996484375,9,5,99.6484375,SPARSE
FL050-080,6000.0,0.99765625,6,5,99.765625,SPARSE
FL050-080,6500.0,0.60703125,1006,5,60.703125,OK
FL050-080,6500.0,0.992578125,19,5,99.2578125,SPARSE
FL050-080,6000.0,0.944140625,143,5,94.4140625,SPARSE
FL050-080,5000.0,0.487109375,1313,5,48.7109375,OK
FL080-100,9000.0,0.69453125,782,5,69.453125,OK
FL080-100,9000.0,0.69140625,790,4,69.140625,OK
FL080-100,9000.0,0.54609375,1162,5,54.60937500000001,OK
FL080-100,9500.0,0.9640625,92,5,96.40625,SPARSE
FL080-100,8000.0,0.99765625,6,5,99.765625,SPARSE
FL100-140,10500.0,0.419921875,1485,5,41.9921875,OK
FL100-140,13500.0,0.927734375,185,5,92.7734375,SPARSE
FL100-140,12000.0,0.745703125,651,5,74.5703125,OK
FL100-140,13000.0,0.38203125,1582,4,38.203125,OK
FL100-140,11000.0,0.49609375,1290,5,49.609375,OK
FL140-180,17000.0,0.595703125,1035,5,59.5703125,OK
FL140-180,14000.0,0.54140625,1174,5,54.140625,OK
FL140-180,14000.0,0.85546875,370,5,85.546875,OK
FL140-180,15000.0,0.421875,1480,4,42.1875,OK
FL140-180,15000.0,0.9125,224,5,91.25,SPARSE
FL180-220,21300.0,1.0,0,5,100.0,EMPTY
FL180-220,19000.0,0.9984375,4,5,99.84375,SPARSE
FL180-220,20000.0,0.4265625,1468,5,42.65625,OK
FL180-220,19000.0,0.990234375,25,4,99.0234375,SPARSE
FL180-220,18000.0,0.7625,608,5,76.25,OK
FL220-280,25000.0,0.999609375,1,5,99.9609375,SPARSE
FL220-280,26000.0,0.6828125,812,5,68.28125,OK
FL220-280,24000.0,0.539453125,1179,5,53.9453125,OK
FL220-280,27000.0,1.0,0,4,100.0,EMPTY
FL220-280,25000.0,0.999609375,1,5,99.9609375,SPARSE
FL280-330,32000.0,1.0,0,5,100.0,EMPTY
FL280-330,31000.0,0.999609375,1,5,99.9609375,SPARSE
FL280-330,28000.0,0.99921875,2,5,99.921875,SPARSE
FL280-330,28000.0,0.726953125,699,5,72.6953125,OK
FL280-330,28000.0,0.99765625,6,5,99.765625,SPARSE
FL330-380,34000.0,0.998828125,3,5,99.8828125,SPARSE
FL330-380,35000.0,1.0,0,5,100.0,EMPTY
FL330-380,34000.0,0.951953125,123,5,95.1953125,SPARSE
FL330-380,34000.0,1.0,0,5,100.0,EMPTY
FL330-380,36000.0,1.0,0,5,100.0,EMPTY
FL380-450,38000.0,1.0,0,5,100.0,EMPTY
FL380-450,40000.0,1.0,0,5,100.0,EMPTY
FL380-450,38000.0,1.0,0,5,100.0,EMPTY
FL380-450,39000.0,0.99921875,2,5,99.921875,SPARSE
FL380-450,41000.0,1.0,0,5,100.0,EMPTY
