label,issue,expire,fl_low,fl_high,polygon
SIERRA 3,2013-08-01 00:43:00+00:00,2013-08-01 04:44:00+00:00,0.0,57000.0,"POLYGON ((-156.3 10, -156 8.4, -163.1 6.5, -163.4 8.5, -156.3 10))"
1C,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-102.57649637475797 36.432090705902894, -102.60950977294848 34.03866862920351, -103.52093908231348 32.953155243351134, -104.62 33.672737911472794, -104.82894466384278 35.044779516018906, -102.57649637475797 36.432090705902894))"
2C,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-100.62424078221227 38.17053172442073, -102.9097166466876 38.75771613401299, -103.01947802073163 38.713737025990255, -103.68487751857664 37.64561330121384, -102.95948435762236 38.56400713848539, -100.67400849314703 37.976822728893126, -103.51512248142335 37.539862521731706, -102.84972298357833 38.60798624650812, -100.62424078221227 38.17053172442073))"
3C,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-100.53498946653418 37.98350581410518, -98.93254176232153 37.296584825392486, -100.65350691199608 36.42475882591666, -102.01208931288897 37.03544323732502, -100.53498946653418 37.98350581410518))"
4C,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-105.62243602478271 42.993237891064425, -102.8306136849336 42.175294715371244, -102.88684564006586 41.983362521036874, -105.67866797991498 42.801305696730054, -105.62243602478271 42.993237891064425))"
5C,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-92.73802841307273 34.717113391576085, -92.1925738676182 34.717113391576085, -92.1925738676182 34.17165884612154, -92.73802841307273 34.17165884612154, -92.73802841307273 34.717113391576085))"
1E,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-87.17787246999931 35.32442246262075, -84.9952099668973 34.652491948389375, -85.36244722449273 33.35731710735726, -88.96429174333059 35.01576881035552, -87.17787246999931 35.32442246262075))"
2E,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-87.42504596210577 42.44190398149642, -87.42000022604623 42.24196764025847, -88.93662245092943 42.20369308045895, -88.94166818698898 42.40362942169689, -87.42504596210577 42.44190398149642))"
3E,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,38000.0,"POLYGON ((-84.53266403427278 46.34611711213464, -82.84625809298251 45.37095295221505, -84.05453288549381 44.9186461508852, -85.46023768153194 44.8236697804746, -86.55474972059689 45.37147468749988, -84.53266403427278 46.34611711213464))"
4E,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-81.88115431291487 29.04774452507063, -81.33569976746034 29.04774452507063, -81.33569976746034 28.502289979616084, -81.88115431291487 28.502289979616084, -81.88115431291487 29.04774452507063))"
1W,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-107.28 33.945475822945575, -106.58110217700983 32.689838632694915, -107.38522263096903 31.818686142728733, -108.81272850592548 31.346981460766365, -109.0329509564731 32.730911706553265, -107.28 33.945475822945575))"
2W,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,38000.0,"POLYGON ((-109.58001991969286 45.60916746292354, -110.09074698725874 44.58502108231087, -112.37574996830509 44.29805112214308, -109.41597885473834 45.49475361319986, -110.0211874133 44.627034742575304, -112.40067188534212 44.49649229239563, -110.11566890429577 44.78346225256342, -110.18522847825452 44.74144859229898, -109.58001991969286 45.60916746292354))"
3W,2013-08-01 00:55:00+00:00,2013-08-01 02:55:00+00:00,0.0,40000.0,"POLYGON ((-122.00691730277357 43.508374217966065, -121.6432809391372 43.508374217966065, -121.6432809391372 43.144737854329705, -122.00691730277357 43.144737854329705, -122.00691730277357 43.508374217966065))"
UNIFORM 2,2013-08-01 01:00:00+00:00,2013-08-01 05:00:00+00:00,0.0,50000.0,"POLYGON ((166 19.3, 164.4 16.1, 160 14.4, 159.2 16.4, 166 19.3))"
5E,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-85.75899189769076 34.95848012104866, -83.87173764759633 34.099264778247814, -86.61806350516773 33.43439849192075, -88.51 33.98910686720919, -85.75899189769076 34.95848012104866))"
6E,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,38000.0,"POLYGON ((-84.31000000000002 45.91089313279081, -82.84625809298251 45.37095295221505, -85.72810497338021 44.36245137120897, -86.00365835371176 45.437634370812184, -84.31000000000002 45.91089313279081))"
7E,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,42000.0,"POLYGON ((-79.64873602929299 32.31827187416335, -79.35604417839124 31.607267197254174, -79.81213211561042 30.85144712495877, -79.82886764921977 32.23136618100951, -79.53172927472048 31.615479985311943, -79.9833706883421 30.95477839422814, -79.52728275112293 31.710598466523543, -79.3515976547937 31.702385678465774, -79.64873602929299 32.31827187416335))"
8E,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,43000.0,"POLYGON ((-78.97416763748878 36.720461900518686, -79.84125718069333 36.199222667082445, -79.69525426932745 36.14627615844502, -79.25522205784326 34.87718932170534, -79.73821481381319 36.02781009278366, -78.87112527060863 36.5490493262199, -79.44418551369488 34.811669764681405, -79.88421772517907 36.080756601421086, -78.97416763748878 36.720461900518686))"
6C,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-102.72883332197415 35.88273405794003, -101.94965927924423 34.67478494407264, -103.24000000000001 33.03458269015474, -104.59744031943876 34.35241404465487, -102.72883332197415 35.88273405794003))"
7C,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-100.137284693287 37.447946985839714, -99.57235073560219 36.33862504275302, -101.64 36.12184477868196, -102.01208931288897 37.03544323732502, -100.137284693287 37.447946985839714))"
8C,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-103.50306310922406 40.69082711084789, -104.29827790068325 39.879178586802965, -104.22271039924257 39.909109115267206, -101.52037284769187 39.79720716905787, -104.15541766928382 39.73921089665805, -103.36020287782463 40.55085942070298, -101.5286476191738 39.59737842198447, -104.2309851707245 39.70928036819381, -103.50306310922406 40.69082711084789))"
9C,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,44000.0,"POLYGON ((-105.42420947672365 42.93073904965953, -102.21636923736929 42.36376019093842, -102.25117925929291 42.16681283154085, -105.45901949864727 42.73379169026196, -105.42420947672365 42.93073904965953))"
10C,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-92.73802841307273 34.717113391576085, -92.1925738676182 34.717113391576085, -92.1925738676182 34.17165884612154, -92.73802841307273 34.17165884612154, -92.73802841307273 34.717113391576085))"
4W,2013-08-01 01:55:00+00:00,2013-08-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-107.7038726112794 33.63220326819511, -107.24588402913193 32.4068110089857, -108.29480519159708 31.44284054789585, -110.5373327339606 31.330929419644484, -107.7038726112794 33.63220326819511))"
5W,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-107.7038726112794 33.63220326819511, -107.24588402913193 32.4068110089857, -108.29480519159708 31.44284054789585, -110.5373327339606 31.330929419644484, -107.7038726112794 33.63220326819511))"
11C,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-91.23527683658514 34.457171987922806, -89.20636785900561 34.175229568829224, -89.23389585419821 33.97713310374043, -91.26280483177774 34.25907552283401, -91.23527683658514 34.457171987922806))"
12C,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-102.51237985749506 35.99272132538199, -101.64 35.29, -102.78560686689843 32.791422556980784, -104.33760523934986 33.57496189950146, -102.51237985749506 35.99272132538199))"
13C,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-100.5744526956233 36.77579302326777, -101.41635862632515 36.18511637820809, -102.30768971029435 36.72101799742144, -100.4853564045657 36.59673478994749, -101.3202829473561 36.18128973115977, -102.20463464341385 36.892422936645076, -101.31330355944465 36.35652131743173, -101.40937923841369 36.36034796448005, -100.5744526956233 36.77579302326777))"
14C,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,44000.0,"POLYGON ((-104.24603244690891 40.14236881959852, -103.336941537818 40.14236881959852, -103.336941537818 39.23327791050762, -104.24603244690891 39.23327791050762, -104.24603244690891 40.14236881959852))"
9E,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-83.85644568399006 34.198088640998996, -85.44314352056146 34.443613607292725, -85.51006058712653 34.43043347603716, -86.21069049016818 34.00810144719053, -86.137885405821 34.02018902279959, -87.46882001861161 34.30862443989551, -87.5426672104751 34.295899985107404, -88.13775577290488 33.92720435981707, -87.99194932855028 33.87859919856481, -87.57732584049904 32.81772227509122, -85.47372744777401 34.24596588179036, -83.8870296112026 34.00044091549663, -86.10744028425059 33.8368139841993, -85.40681038120894 34.25914601304593, -87.51117998138838 34.11316182568616, -86.18024536859777 33.824726408590244, -88.03242135195467 33.75719065518393, -87.43733278952489 34.12588628047427, -87.76360430825804 32.74491889296261, -88.17822779630927 33.805795816436195, -83.85644568399006 34.198088640998996))"
10E,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-85.34925080172471 36.686326112227896, -85.16953417091611 36.598565456972786, -86.18017489151609 34.52897123235998, -86.35989152232469 34.61673188761509, -85.34925080172471 36.686326112227896))"
11E,2013-08-01 02:55:00+00:00,2013-08-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-78.74433037934392 37.114617174459745, -79.44483552486282 36.10544014582321, -79.26471071871325 36.06843576323173, -79.0711066518637 35.120864271286884, -79.28053771969296 35.991395280895546, -78.58003257417406 37.00057230953208, -79.26705845899299 35.08082817154217, -79.46066252584254 36.02839966348702, -78.74433037934392 37.114617174459745))"
ALFA 1,2013-08-01 03:45:00+00:00,2013-08-01 07:45:00+00:00,0.0,38000.0,"POLYGON ((-50.3 42.3, -54.3 38.3, -54 42.3, -50.3 42.3))"
