URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
F,B772,PASY UA /OV SYA091340/TM 1746/FL330/TP B772/TB CONT LGT MOD CHOP/RMZAN,CONT LGT MOD CHOP,,33000.0,52.61109501952616,-176.5374099184137,2014-06-07 17:46:00,2.0,H,"('PAEC', 'PABC', 'PAKC', 'PAHG', 'PAIH')","['s3://unidata-nexrad-level2/2014/06/07/PAEC/PAEC20140607_173802_V06.gz', 's3://unidata-nexrad-level2/2014/06/07/PABC/PABC20140607_174439_V06.gz', 's3://unidata-nexrad-level2/2014/06/07/PAKC/PAKC20140607_174215_V06.gz', 's3://unidata-nexrad-level2/2014/06/07/PAHG/PAHG20140607_174355_V06.gz', 's3://unidata-nexrad-level2/2014/06/07/PAIH/PAIH20140607_174203_V06.gz']"
F,B734,YAK UA /OV YAK /TM 0144 /FL005 /TP B734 /SK BKN005 /TB NEG /IC NEG /RM DURD RWY 11,NEG,,500.0,59.5,-139.66,2014-06-21 01:44:00,0.0,M,"('PAIH', 'PAIH', 'PACG', 'PAPD', 'PAHG')","['s3://unidata-nexrad-level2/2014/06/21/PAIH/PAIH20140621_014221_V06.gz', 's3://unidata-nexrad-level2/2014/06/21/PAIH/PAIH20140621_014221_V06.gz', 's3://unidata-nexrad-level2/2014/06/21/PACG/PACG20140621_013806_V06.gz', 's3://unidata-nexrad-level2/2014/06/21/PAPD/PAPD20140621_013904_V06.gz', 's3://unidata-nexrad-level2/2014/06/21/PAHG/PAHG20140621_013951_V06.gz']"
F,B737,CLE UA /OV CLE135006 /TM 1905 /FL080 /TP B737 /SK BKN044 /TB LGT CHOP /RM DURC TOP ABV 120,LGT CHOP,201406041920-KWBC-UBOH90-PIREP,8000.0,41.34928359431069,-81.755696393457,2014-06-04 19:05:00,1.0,M,"('KCLE', 'KPBZ', 'KDTX', 'KILN', 'KRLX')","['s3://unidata-nexrad-level2/2014/06/04/KCLE/KCLE20140604_190109_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KPBZ/KPBZ20140604_190407_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KDTX/KDTX20140604_190020_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KILN/KILN20140604_190215_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KRLX/KRLX20140604_190125_V06.gz']"
T,C421,MTJ UUA /OV MTJ130030/TM 1750/FL180/TP C421/TB SEV/RM DURD FL180-175. CORRECTION TO PREVIOUS REPORT AMENDING TO UUA. ZDV,SEV,,18000.0,38.18358016223251,-107.40800875724274,2014-06-03 17:50:00,5.0,L,"('KGJX', 'KPUX', 'KFTG', 'KABX', 'KCYS')","['s3://unidata-nexrad-level2/2014/06/03/KGJX/KGJX20140603_174346_V06.gz', 's3://unidata-nexrad-level2/2014/06/03/KPUX/KPUX20140603_174623_V06.gz', 's3://unidata-nexrad-level2/2014/06/03/KABX/KABX20140603_174403_V06.gz', 's3://unidata-nexrad-level2/2014/06/03/KCYS/KCYS20140603_174328_V06.gz']"
F,B737,PIR UA /OV PIR/TM 2100/FL390/TP B737/TB CONT LGT CHOP,CONT LGT CHOP,,39000.0,44.38269,-100.28597,2014-06-15 21:00:00,1.0,M,"('KABR', 'KUDX', 'KBIS', 'KLNX', 'KFSD')","['s3://unidata-nexrad-level2/2014/06/15/KABR/KABR20140615_205704_V06.gz', 's3://unidata-nexrad-level2/2014/06/15/KUDX/KUDX20140615_205636_V06.gz', 's3://unidata-nexrad-level2/2014/06/15/KBIS/KBIS20140615_205925_V06.gz', 's3://unidata-nexrad-level2/2014/06/15/KLNX/KLNX20140615_205819_V06.gz', 's3://unidata-nexrad-level2/2014/06/15/KFSD/KFSD20140615_205659_V06.gz']"
F,B757,PWK UA /OV OBK045035/TM 0920/FL330/TP B757/TB MOD,MOD,,33000.0,42.63251236652097,-87.39297996956108,2014-06-12 09:20:00,3.0,M,"('KMKX', 'KLOT', 'KIWX', 'KGRR', 'KGRB')","['s3://unidata-nexrad-level2/2014/06/12/KMKX/KMKX20140612_091146_V06.gz', 's3://unidata-nexrad-level2/2014/06/12/KLOT/KLOT20140612_091755_V06.gz', 's3://unidata-nexrad-level2/2014/06/12/KIWX/KIWX20140612_091651_V06.gz', 's3://unidata-nexrad-level2/2014/06/12/KGRR/KGRR20140612_091704_V06.gz', 's3://unidata-nexrad-level2/2014/06/12/KGRB/KGRB20140612_091420_V06.gz']"
F,B739,SPI UA /OV KSPI/TM 2348/FL340/TP B739/TA M45/WV 23269KT/TB NEG/RM ASA749 AWC-WEB:ASA,NEG,201406090000-KWBC-UBIL90-PIREP,34000.0,39.85,-89.68,2014-06-08 23:48:00,0.0,M,"('KILX', 'KDVN', 'KLSX', 'KLOT', 'KVWX')","['s3://unidata-nexrad-level2/2014/06/08/KILX/KILX20140608_234431_V06.gz', 's3://unidata-nexrad-level2/2014/06/08/KDVN/KDVN20140608_234719_V06.gz', 's3://unidata-nexrad-level2/2014/06/08/KLSX/KLSX20140608_234738_V06.gz', 's3://unidata-nexrad-level2/2014/06/08/KLOT/KLOT20140608_234615_V06.gz', 's3://unidata-nexrad-level2/2014/06/08/KVWX/KVWX20140608_234400_V06.gz']"
T,H25B,"VEL UUA /OV MTU 160020/TM 2217/FL390/TP H25B/TB ""SEV"" MTN WAVE +- 1000 FPM/RM ZLC",SEV MTN WAVE +- 1000 FPM,201406172250-KWBC-UBUT90-PIREP,39000.0,39.82674375467857,-109.98085651419515,2014-06-17 22:17:00,5.0,M,"('KGJX', 'KMTX', 'KICX', 'KRIW', 'KSFX')","['s3://unidata-nexrad-level2/2014/06/17/KGJX/KGJX20140617_221535_V06.gz', 's3://unidata-nexrad-level2/2014/06/17/KMTX/KMTX20140617_221425_V06.gz', 's3://unidata-nexrad-level2/2014/06/17/KICX/KICX20140617_221017_V06.gz', 's3://unidata-nexrad-level2/2014/06/17/KRIW/KRIW20140617_221434_V06.gz', 's3://unidata-nexrad-level2/2014/06/17/KSFX/KSFX20140617_221354_V06.gz']"
T,E45X,HYS UUA /OV HYS360025/TM 2221/FL370/TP E45X/TB SEV/RM LOST 500 FEET,SEV,,37000.0,39.25892041670041,-99.27317,2014-06-01 22:21:00,5.0,M,"('KDDC', 'KUEX', 'KGLD', 'KVNX', 'KICT')","['s3://unidata-nexrad-level2/2014/06/01/KDDC/KDDC20140601_221903_V06.gz', 's3://unidata-nexrad-level2/2014/06/01/KUEX/KUEX20140601_221911_V06.gz', 's3://unidata-nexrad-level2/2014/06/01/KGLD/KGLD20140601_221723_V06.gz', 's3://unidata-nexrad-level2/2014/06/01/KVNX/KVNX20140601_221827_V07.gz', 's3://unidata-nexrad-level2/2014/06/01/KICT/KICT20140601_222049_V06.gz']"
F,BE9L,FET UA /OV OVR330055/TM 2028/FL120/TP BE9L/SK SKC/TA 05/WV 27720KT/TB NEG,NEG,,12000.0,41.96392092258627,-96.34892003328046,2014-06-04 20:28:00,0.0,L,"('KOAX', 'KFSD', 'KDMX', 'KUEX', 'KTWX')","['s3://unidata-nexrad-level2/2014/06/04/KOAX/KOAX20140604_202130_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KFSD/KFSD20140604_202618_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KDMX/KDMX20140604_201947_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KUEX/KUEX20140604_202337_V06.gz', 's3://unidata-nexrad-level2/2014/06/04/KTWX/KTWX20140604_202029_V06.gz']"
