URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
F,MULT,ERI UA /OV ERI/TM 2350/FL350/TP MULT/TB LGT CHOP 350-390,LGT CHOP 350-390,,35000.0,42.08,-80.18,2021-03-24 23:50:00+00:00,1.0,0,U,"('KPBZ', 'KBUF', 'KCLE', 'KDTX', 'KCCX')","['s3://unidata-nexrad-level2/2021/03/24/KPBZ/KPBZ20210324_234728_V06', 's3://unidata-nexrad-level2/2021/03/24/KBUF/KBUF20210324_234553_V06', 's3://unidata-nexrad-level2/2021/03/24/KCLE/KCLE20210324_234225_V06', 's3://unidata-nexrad-level2/2021/03/24/KDTX/KDTX20210324_234945_V06', 's3://unidata-nexrad-level2/2021/03/24/KCCX/KCCX20210324_234154_V06']"
F,B737,UUA /OV YMX 010125 /TM 2128 /FL320 /TP B737 /TB MDT-SEV,MDT-SEV,,32000.0,47.88184900524994,-73.86076675883109,2021-03-11 21:28:00+00:00,5.0,0,M,"('KCXX', 'KTYX', 'KENX', 'KGYX', 'KBGM')","['s3://unidata-nexrad-level2/2021/03/11/KCXX/KCXX20210311_212657_V06', 's3://unidata-nexrad-level2/2021/03/11/KTYX/KTYX20210311_212557_V06', 's3://unidata-nexrad-level2/2021/03/11/KENX/KENX20210311_212745_V06', 's3://unidata-nexrad-level2/2021/03/11/KGYX/KGYX20210311_212401_V06', 's3://unidata-nexrad-level2/2021/03/11/KBGM/KBGM20210311_212607_V06']"
T,PC12,BHM UUA /OV BHM055030/TM 1100/FL060/TP PC12/TB SEV/RM NO DAMAGE OR INJURIES,SEV,,6000.0,33.85227144804443,-86.25330257386612,2021-03-17 11:00:00+00:00,5.0,0,L,"('KBMX', 'KHTX', 'KMXX', 'KFFC', 'KGWX')","['s3://unidata-nexrad-level2/2021/03/17/KBMX/KBMX20210317_105534_V06', 's3://unidata-nexrad-level2/2021/03/17/KHTX/KHTX20210317_105950_V06', 's3://unidata-nexrad-level2/2021/03/17/KMXX/KMXX20210317_105922_V06', 's3://unidata-nexrad-level2/2021/03/17/KFFC/KFFC20210317_105709_V06', 's3://unidata-nexrad-level2/2021/03/17/KGWX/KGWX20210317_105714_V06']"
F,B737,JNU UA /OV JNU /TM 0928 /FL050 /TP B737 /TB LGT OCNL MOD /RM DURC RY 08 DOWN THE CHANNEL (AKFSS,LGT OCNL MOD,,5000.0,58.35,-134.57,2021-03-11 09:28:00+00:00,2.0,0,M,"('PACG', 'PAIH', 'PAIH', 'PAPD', 'KLGX')","['s3://unidata-nexrad-level2/2021/03/11/PACG/PACG20210311_092437_V06', 's3://unidata-nexrad-level2/2021/03/11/PAIH/PAIH20210311_092452_V06', 's3://unidata-nexrad-level2/2021/03/11/PAIH/PAIH20210311_092452_V06', 's3://unidata-nexrad-level2/2021/03/11/PAPD/PAPD20210311_092003_V06', 's3://unidata-nexrad-level2/2021/03/11/KLGX/KLGX20210311_092404_V06']"
F,A320,HYR UA /OV HYR/TM 1920/FL340/TP A320/TB OCNL LGT CHOP,OCNL LGT CHOP,,34000.0,46.02528,-91.44425,2021-03-17 19:20:00+00:00,1.0,0,M,"('KDLH', 'KMPX', 'KARX', 'KMQT', 'KGRB')","['s3://unidata-nexrad-level2/2021/03/17/KDLH/KDLH20210317_191959_V06', 's3://unidata-nexrad-level2/2021/03/17/KMPX/KMPX20210317_191647_V06', 's3://unidata-nexrad-level2/2021/03/17/KARX/KARX20210317_191230_V06', 's3://unidata-nexrad-level2/2021/03/17/KMQT/KMQT20210317_191452_V06', 's3://unidata-nexrad-level2/2021/03/17/KGRB/KGRB20210317_191243_V06']"
F,M20P,TRM UA /OV JLI140025 /TM 1440 /FL090 /TP M20P /TB MOD/RM AWC-WEB,MOD,,9000.0,32.820788961341286,-116.27011710794518,2021-03-25 14:40:00+00:00,3.0,0,L,"('KNKX', 'KYUX', 'KSOX', 'KEYX', 'KESX')","['s3://unidata-nexrad-level2/2021/03/25/KNKX/KNKX20210325_143744_V06', 's3://unidata-nexrad-level2/2021/03/25/KYUX/KYUX20210325_143607_V06', 's3://unidata-nexrad-level2/2021/03/25/KSOX/KSOX20210325_143158_V06', 's3://unidata-nexrad-level2/2021/03/25/KEYX/KEYX20210325_143438_V06', 's3://unidata-nexrad-level2/2021/03/25/KESX/KESX20210325_143407_V06']"
T,TBM8,PRC UUA /OV DRK090025/TM 2231/FL240/TP TBM8/TB SEV TURB/RM ZAB FDCS,SEV TURB,,24000.0,34.7,-111.97315400233518,2021-03-24 22:31:00+00:00,5.0,0,U,"('KFSX', 'KFSX', 'KIWA', 'KESX', 'KICX')","['s3://unidata-nexrad-level2/2021/03/24/KFSX/KFSX20210324_223054_V06', 's3://unidata-nexrad-level2/2021/03/24/KFSX/KFSX20210324_223054_V06', 's3://unidata-nexrad-level2/2021/03/24/KIWA/KIWA20210324_222944_V06', 's3://unidata-nexrad-level2/2021/03/24/KESX/KESX20210324_222902_V06', 's3://unidata-nexrad-level2/2021/03/24/KICX/KICX20210324_222656_V06']"
F,FA7X,UUA /OV 46N040W /TM 1612 /FL400 /TP FA7X /TB MDT - SEV,MDT - SEV,,40000.0,46.0,-40.0,2021-03-02 16:12:00+00:00,5.0,0,U,"('LPLA', 'KCBW', 'KGYX', 'KBOX', 'KCXX')","['s3://unidata-nexrad-level2/2021/03/02/KCBW/KCBW20210302_160743_V06', 's3://unidata-nexrad-level2/2021/03/02/KGYX/KGYX20210302_160648_V06', 's3://unidata-nexrad-level2/2021/03/02/KBOX/KBOX20210302_161024_V06', 's3://unidata-nexrad-level2/2021/03/02/KCXX/KCXX20210302_161138_V06']"
T,PA46,ALB UUA /OV ALB160025/TM 2052/FL081/TP PA46/TB SEV/RM ENCOUNTERED DURING VFR CLIMB TO 095,SEV,,8100.0,42.36599969334821,-73.60950271880245,2021-03-12 20:52:00+00:00,5.0,0,L,"('KENX', 'KOKX', 'KBGM', 'KTYX', 'KCXX')","['s3://unidata-nexrad-level2/2021/03/12/KENX/KENX20210312_204642_V06', 's3://unidata-nexrad-level2/2021/03/12/KOKX/KOKX20210312_204929_V06', 's3://unidata-nexrad-level2/2021/03/12/KBGM/KBGM20210312_204925_V06', 's3://unidata-nexrad-level2/2021/03/12/KTYX/KTYX20210312_205028_V06', 's3://unidata-nexrad-level2/2021/03/12/KCXX/KCXX20210312_205037_V06']"
F,C208,OAK UA /OV HYP152018/TM 1507/FL090/TP C208/WX LGT SN/TA 0/TB LGT,LGT,,9000.0,36.95509426649436,-120.22311999584156,2021-03-19 15:07:00+00:00,1.0,0,L,"('KHNX', 'KMUX', 'KDAX', 'KVBX', 'KVTX')","['s3://unidata-nexrad-level2/2021/03/19/KHNX/KHNX20210319_150418_V06', 's3://unidata-nexrad-level2/2021/03/19/KMUX/KMUX20210319_150245_V06', 's3://unidata-nexrad-level2/2021/03/19/KDAX/KDAX20210319_150300_V06', 's3://unidata-nexrad-level2/2021/03/19/KVBX/KVBX20210319_150538_V06', 's3://unidata-nexrad-level2/2021/03/19/KVTX/KVTX20210319_150138_V06']"
